id,state,district,r112,r113,r114,diff1213,diff1314
"011103114098",District Of Columbia,"98",,,,,
"012113114021",Florida,"21","52.3210035297976","27.5799731465141","27.5799731465141","-24.7410303832835","0"
"005113114003",Arkansas,"3","3.90858199371181","7.91277117686122","7.91277117686122","4.00418918314941","0"
"020113114001",Kansas,"1","1.45062842134916","1.48701156489625","1.48701156489625","0.0363831435470965","0"
"020113114002",Kansas,"2","3.59699337307187","3.02948064904601","3.02948064904601","-0.567512724025861","0"
"021113114001",Kentucky,"1","5.31941620245669","5.63790045660977","5.63790045660977","0.318484254153085","0"
"021113114002",Kentucky,"2","5.23993938640661","7.60026561655688","7.60026561655688","2.36032623015027","0"
"021113114004",Kentucky,"4","6.74449011106568","9.17733040681998","9.17733040681998","2.4328402957543","0"
"021113114005",Kentucky,"5","3.83125245082021","4.29625289717351","4.29625289717351","0.465000446353303","0"
"021113114006",Kentucky,"6","6.08721270421694","8.13640383000473","8.13640383000473","2.04919112578779","0"
"022113114001",Louisiana,"1","11.2300943073352","81.2933415306783","81.2933415306783","70.0632472233431","0"
"022113114002",Louisiana,"2","57.1033318262672","27.1606194583372","27.1606194583372","-29.94271236793","0"
"022113114003",Louisiana,"3","38.6512698174381","8.5243784110447","8.5243784110447","-30.1268914063934","0"
"022113114004",Louisiana,"4","4.72332253488361","5.02775596050517","5.02775596050517","0.304433425621556","0"
"022113114005",Louisiana,"5","5.32652208701583","5.94147202731566","5.94147202731566","0.614949940299827","0"
"022113114006",Louisiana,"6","8.41807403518068","13.2718100522566","13.2718100522566","4.85373601707591","0"
"023113114001",Maine,"1","30.9853570106063","39.2533201821521","39.2533201821521","8.26796317154579","0"
"023113114002",Maine,"2","4.9503619461012","5.74082721826503","5.74082721826503","0.790465272163829","0"
"042113114006",Pennsylvania,"6","26.5388101495571","25.8306381226465","25.8306381226465","-0.708172026910599","0"
"042113114007",Pennsylvania,"7","30.7385341678397","36.6411582265261","36.6411582265261","5.9026240586864","0"
"042113114012",Pennsylvania,"12","18.4796833843698","14.5986215361722","14.5986215361722","-3.88106184819763","0"
"042113114013",Pennsylvania,"13","44.3838335900846","63.3294675848034","63.3294675848034","18.9456339947188","0"
"042113114014",Pennsylvania,"14","53.5088310135679","43.4589365498712","43.4589365498712","-10.0498944636967","0"
"042113114015",Pennsylvania,"15","17.2643560837812","16.2468625122639","16.2468625122639","-1.01749357151727","0"
"042113114016",Pennsylvania,"16","12.5421333139698","19.2129110924856","19.2129110924856","6.67077777851578","0"
"042113114017",Pennsylvania,"17","9.01755373453288","18.199520783337","18.199520783337","9.18196704880413","0"
"012113114017",Florida,"17","45.4176214191826","7.97764184998576","7.97764184998576","-37.4399795691969","0"
"012113114018",Florida,"18","214.300759520482","16.6117789689617","16.6117789689617","-197.68898055152","0"
"012113114020",Florida,"20","86.0062550385042","9.57103001645023","9.57103001645023","-76.435225022054","0"
"012113114022",Florida,"22","103.12330680722","82.8127993768225","82.8127993768225","-20.3105074303979","0"
"012113114023",Florida,"23","10.5812924079157","57.8189388087843","57.8189388087843","47.2376464008686","0"
"012113114024",Florida,"24","31.639398795926","52.9510526310562","52.9510526310562","21.3116538351302","0"
"012113114025",Florida,"25","17.206074764934","12.4594698124037","12.4594698124037","-4.74660495253034","0"
"013113114001",Georgia,"1","9.76143109342957","13.6994076735267","13.6994076735267","3.93797658009714","0"
"013113114002",Georgia,"2","3.9325399382811","4.09606563633462","4.09606563633462","0.163525698053516","0"
"017113114008",Illinois,"8","19.160744844714","41.9426093518437","41.9426093518437","22.7818645071297","0"
"008113114004",Colorado,"4","2.06428439087006","1.82330210776139","1.82330210776139","-0.24098228310868","0"
"009113114005",Connecticut,"5","12.2476910225004","12.3168128105874","12.3168128105874","0.0691217880869637","0"
"012113114001",Florida,"1","11.2426267713987","13.990996361515","13.990996361515","2.74836959011636","0"
"012113114002",Florida,"2","11.9487015628097","10.7744743622087","10.7744743622087","-1.17422720060102","0"
"012113114003",Florida,"3","20.1682519745304","7.79061462630686","7.79061462630686","-12.3776373482236","0"
"012113114011",Florida,"11","105.79940411604","19.8444627789735","19.8444627789735","-85.9549413370662","0"
"042113114018",Pennsylvania,"18","23.5717792246254","11.5073865380823","11.5073865380823","-12.0643926865431","0"
"045113114001",South Carolina,"1","30.4713374059637","81.0527751479853","81.0527751479853","50.5814377420216","0"
"045113114002",South Carolina,"2","21.8656609346661","9.86735323641114","9.86735323641114","-11.998307698255","0"
"045113114003",South Carolina,"3","6.16804628941396","5.2642857069947","5.2642857069947","-0.90376058241926","0"
"045113114004",South Carolina,"4","8.85255653080442","12.0219806238744","12.0219806238744","3.16942409306997","0"
"045113114005",South Carolina,"5","5.23779041998703","6.5215279154709","6.5215279154709","1.28373749548387","0"
"045113114006",South Carolina,"6","6.81321940579906","11.2846800282182","11.2846800282182","4.47146062241918","0"
"017113114009",Illinois,"9","53.3538447277631","58.9424995645539","58.9424995645539","5.58865483679079","0"
"017113114011",Illinois,"11","8.19142391824269","36.768524620695","36.768524620695","28.5771007024523","0"
"017113114012",Illinois,"12","6.57077404874554","6.07092941083735","6.07092941083735","-0.499844637908189","0"
"017113114014",Illinois,"14","8.85542499740963","13.1339462404347","13.1339462404347","4.27852124302506","0"
"017113114015",Illinois,"15","5.28128254406401","3.87445294393642","3.87445294393642","-1.40682960012759","0"
"017113114016",Illinois,"16","5.84967834417278","4.97059306409276","4.97059306409276","-0.879085280080023","0"
"017113114017",Illinois,"17","9.90652664057066","5.82977355655767","5.82977355655767","-4.07675308401298","0"
